,키워드,언급수
0,거제,3334
1,여행,1933
2,거제도,1671
3,바다,1344
4,사진,1285
5,시간,996
6,거제시,842
7,바람,774
8,카페,773
9,뷰,670
10,사람,616
11,외도,614
12,방문,579
13,코스,562
14,맛집,554
15,섬,549
16,맛,511
17,유람선,506
18,언덕,500
19,마을,498
20,풍경,486
21,경남,475
22,위치,468
23,매미,467
24,주차,461
25,추천,451
26,주문,420
27,주차장,418
28,숙소,403
29,메뉴,397
30,구경,382
31,지심,379
32,커피,376
33,집,375
34,배,371
35,곶,371
36,공원,371
37,펜션,370
38,예약,368
39,해금강,365
40,날씨,352
41,포토,349
42,가족,348
43,전망대,347
44,존,326
45,호텔,321
46,수선화,320
47,케이블카,317
48,봄,314
49,관광,313
