,키워드,언급수
0,동해,2525
1,바다,1658
2,여행,1639
3,해수욕장,1084
4,동해시,1044
5,해변,945
6,사진,937
7,시간,878
8,카페,755
9,스카이,715
10,강원도,706
11,사람,680
12,무릉,654
13,숙소,628
14,전망대,622
15,맛,602
16,바위,588
17,망상,567
18,체험,549
19,계곡,528
20,여름,492
21,묵호,467
22,추천,467
23,삼척,465
24,동굴,464
25,맛집,460
26,주차장,460
27,방문,437
28,위치,434
29,집,433
30,뷰,421
31,호텔,420
32,시설,417
33,밸리,410
34,묵호항,405
35,비골,400
36,연필,379
37,촛대,370
38,타고,366
39,풍경,353
40,추,353
41,주차,349
42,구경,343
43,등대,334
44,회,324
45,비치,320
46,예약,319
47,마을,310
48,해랑,310
49,주문,309
