,키워드,언급수
0,고창,3076
1,여행,1473
2,사진,968
3,장어,820
4,카페,710
5,시간,702
6,체험,626
7,해바라기,623
8,집,591
9,사람,587
10,맛,578
11,상하,558
12,코스,500
13,농원,492
14,꽃,447
15,갯벌,439
16,여름,433
17,밭,415
18,농장,397
19,방문,391
20,가족,358
21,맛집,350
22,학원,337
23,식당,332
24,숙소,321
25,복분자,319
26,바다,311
27,추천,301
28,고인돌,301
29,날씨,300
30,힐링,291
31,선운사,291
32,마을,280
33,주문,275
34,구경,268
35,전북,263
36,박,256
37,엄마,247
38,바람,243
39,예약,237
40,음식,235
41,골프,234
42,휴가,230
43,저녁,230
44,코스모스,225
45,자연,224
46,해수욕장,224
47,밥,223
48,축제,221
49,하루,220
