,키워드,언급수
0,제주,2757
1,제주도,1575
2,여행,1464
3,제주시,1188
4,맛,1160
5,카페,974
6,사진,919
7,맛집,889
8,시간,869
9,방문,647
10,공항,645
11,주문,617
12,사람,602
13,메뉴,597
14,추천,574
15,호텔,515
16,숙소,510
17,위치,467
18,바다,465
19,집,463
20,주차,456
21,고기,401
22,밥,369
23,예약,358
24,가격,347
25,주차장,342
26,돼지,339
27,식당,326
28,커피,316
29,새우,315
30,김밥,315
31,음식,314
32,코스,307
33,가게,288
34,전복,285
35,아침,280
36,겨울,277
37,구경,276
38,라면,270
39,시장,265
40,뷰,265
41,분위기,264
42,마지막,263
43,해장국,257
44,입구,255
45,날씨,252
46,친구,251
47,저녁,251
48,비행기,240
49,체험,239
