,키워드,언급수
0,여수,5435
1,여행,2136
2,바다,1580
3,사진,1227
4,맛,1128
5,시간,1031
6,카페,864
7,맛집,800
8,게장,702
9,사람,700
10,추천,692
11,뷰,659
12,여수시,611
13,빵,604
14,주문,602
15,이순신,598
16,오동도,572
17,방문,569
18,밤,555
19,호텔,543
20,주차장,540
21,코스,533
22,주차,518
23,예약,514
24,김밥,494
25,광장,493
26,케이블카,474
27,숙소,454
28,낭만,448
29,위치,437
30,메뉴,422
31,집,412
32,탑승,396
33,루지,389
34,식당,383
35,가격,369
36,타고,369
37,전남,368
38,존,364
39,여름,361
40,공원,358
41,구경,352
42,포차,344
43,밥,343
44,아이스크림,334
45,가족,330
46,친구,328
47,버거,326
48,오션,325
49,크루즈,323
