,키워드,언급수
0,제주,2530
1,제주도,1608
2,제주시,1501
3,여행,1415
4,맛,1258
5,카페,917
6,시간,885
7,사진,878
8,맛집,832
9,주문,798
10,메뉴,684
11,공항,675
12,방문,666
13,고기,558
14,호텔,526
15,추천,516
16,위치,491
17,사람,489
18,숙소,472
19,돼지,458
20,바다,456
21,집,413
22,주차,380
23,음식,379
24,밥,368
25,커피,360
26,가격,355
27,김밥,344
28,예약,333
29,식당,323
30,새우,318
31,주차장,306
32,코스,300
33,마지막,293
34,분위기,291
35,식사,280
36,가게,269
37,구경,264
38,와인,263
39,걸,262
40,날씨,261
41,아침,258
42,먹기,252
43,벚꽃,248
44,시장,245
45,뷰,244
46,친구,242
47,국물,237
48,소스,229
49,갈치,229
