,키워드,언급수
0,여수,5846
1,여행,2116
2,바다,1649
3,사진,1306
4,시간,978
5,카페,913
6,맛,867
7,오동도,796
8,밤,663
9,맛집,662
10,추천,657
11,뷰,643
12,사람,635
13,호텔,624
14,게장,616
15,이순신,591
16,여수시,575
17,공원,546
18,방문,529
19,주문,523
20,코스,513
21,주차,476
22,섬,475
23,주차장,474
24,낭만,447
25,케이블카,441
26,집,430
27,광장,426
28,예약,411
29,위치,406
30,동백꽃,400
31,존,398
32,숙소,398
33,오션,387
34,김밥,383
35,포차,382
36,아르떼,375
37,메뉴,373
38,마을,371
39,돌산,370
40,가족,360
41,갓김치,357
42,전남,355
43,풍경,352
44,포토,343
45,타고,343
46,야경,337
47,밥,336
48,테디베어,329
49,입구,316
