,키워드,언급수
0,제주,3181
1,여행,2317
2,제주도,2213
3,사진,1637
4,카페,1069
5,시간,1045
6,유채꽃,911
7,코스,858
8,서귀포시,822
9,서귀포,751
10,바다,726
11,사람,672
12,맛,667
13,방문,623
14,호텔,612
15,숙소,592
16,맛집,562
17,추천,537
18,위치,517
19,꽃,491
20,주차,462
21,주차장,460
22,날씨,435
23,봄,435
24,풍경,415
25,구경,411
26,예약,388
27,주문,383
28,공원,377
29,메뉴,373
30,뷰,372
31,돼지,365
32,집,365
33,산방산,364
34,우도,361
35,밭,358
36,벚꽃,344
37,체험,334
38,입구,329
39,갈치,328
40,가족,323
41,바람,318
42,포토,318
43,나무,314
44,아침,309
45,존,307
46,마라도,301
47,커피,298
48,배,295
49,자연,286
