,키워드,언급수
0,동해,865
1,여행,550
2,바다,524
3,동해시,381
4,사진,331
5,바위,303
6,카페,288
7,전망대,258
8,맛,248
9,시간,238
10,촛대,235
11,스카이,233
12,묵호항,230
13,묵호,227
14,강원도,204
15,등대,195
16,사람,189
17,맛집,179
18,뷰,177
19,방문,173
20,집,172
21,호텔,162
22,해변,156
23,해랑,155
24,삼척,155
25,비골,151
26,겨울,150
27,강릉,147
28,숙소,146
29,해수욕장,142
30,추천,142
31,주문,141
32,밸리,140
33,추암,139
34,대게,137
35,무릉,134
36,위치,131
37,논골,131
38,칼국수,125
39,일출,124
40,빵,122
41,다리,120
42,주차,119
43,가격,116
44,커피,113
45,메뉴,113
46,주차장,112
47,구경,111
48,추,109
49,마을,108
