,키워드,언급수
0,양양,2035
1,여행,1433
2,바다,1227
3,사진,797
4,해변,702
5,비치,689
6,사람,666
7,숙소,663
8,서핑,635
9,맛,624
10,카페,609
11,시간,597
12,강원도,550
13,속초,478
14,뷰,468
15,낙산사,428
16,호텔,416
17,맛집,371
18,방문,360
19,추천,343
20,집,343
21,주문,323
22,예약,306
23,아침,305
24,해수욕장,303
25,저녁,298
26,날씨,286
27,죽도,274
28,커피,274
29,조대,263
30,피,261
31,친구,256
32,주차장,251
33,주차,246
34,가족,235
35,구경,231
36,바람,229
37,분위기,224
38,박,220
39,온,209
40,위치,205
41,파도,205
42,회,198
43,밥,197
44,강릉,196
45,메뉴,195
46,식당,193
47,음식,190
48,기분,190
49,가격,189
