,키워드,언급수
0,제주,2691
1,여행,2143
2,제주도,1830
3,사진,1317
4,시간,949
5,카페,851
6,코스,773
7,서귀포,758
8,서귀포시,663
9,맛,653
10,호텔,642
11,사람,638
12,숙소,587
13,방문,548
14,추천,546
15,바다,543
16,유채꽃,540
17,위치,460
18,벚꽃,459
19,맛집,418
20,주차장,402
21,주차,380
22,메뉴,368
23,예약,367
24,풍경,362
25,주문,358
26,꽃,341
27,산방산,337
28,날씨,333
29,집,326
30,커피,323
31,갈치,322
32,구경,294
33,뷰,291
34,입구,288
35,수국,277
36,가족,270
37,고기,270
38,식당,262
39,공원,260
40,체험,254
41,돼지,248
42,봄,248
43,마지막,246
44,밭,245
45,포토,242
46,아침,237
47,가격,234
48,바람,230
49,음식,229
