,키워드,언급수
0,단양,4015
1,여행,2219
2,사진,1468
3,마늘,1354
4,패러글라이딩,1076
5,시간,1010
6,사람,981
7,시장,914
8,카페,878
9,스카이,867
10,워,858
11,구경,770
12,만천하,744
13,맛,709
14,터널,677
15,코스,639
16,도담삼봉,619
17,타고,591
18,주차장,589
19,풍경,549
20,잔,524
21,숙소,522
22,유람선,510
23,가을,481
24,집,477
25,주차,467
26,추천,462
27,충북,453
28,산,448
29,맛집,446
30,예약,430
31,방문,406
32,닭강정,383
33,체험,383
34,단풍,381
35,주문,380
36,이끼,374
37,떡갈비,366
38,뷰,365
39,빵,363
40,아침,356
41,날씨,354
42,동굴,340
43,전망대,339
44,줄,335
45,출발,330
46,남,325
47,커피,306
48,고수동굴,306
49,길이,305
