,키워드,언급수
0,강릉,4712
1,여행,2118
2,바다,1534
3,사진,1488
4,커피,1193
5,해변,1178
6,시간,1172
7,맛,1140
8,카페,1086
9,사람,823
10,강원도,798
11,순두부,769
12,강릉시,736
13,주문,676
14,맛집,666
15,방문,648
16,겨울,642
17,추천,628
18,포스터,613
19,빵,605
20,집,583
21,호텔,557
22,숙소,536
23,주차,508
24,메뉴,500
25,회,487
26,위치,464
27,정동진,456
28,코스,441
29,초당,440
30,주문진,438
31,아르떼,419
32,구경,416
33,주차장,409
34,뷰,394
35,아트,377
36,전시,347
37,줄,346
38,강원,341
39,칼국수,330
40,작품,330
41,가족,324
42,안목,314
43,박물관,312
44,동해,307
45,입구,306
46,하슬라,305
47,가격,304
48,짬뽕,303
49,강문,301
