,키워드,언급수
0,여수,1922
1,여행,835
2,바다,545
3,시간,326
4,사진,308
5,코스,282
6,여수시,260
7,밤,245
8,공원,239
9,마을,230
10,카페,215
11,맛,207
12,사람,203
13,등대,194
14,방문,191
15,이순신,190
16,케이블카,188
17,오동도,186
18,뷰,186
19,겨울,186
20,숙소,186
21,위치,181
22,섬,179
23,추천,176
24,빵,173
25,호텔,170
26,맛집,165
27,하멜,162
28,전남,158
29,주차장,149
30,낭만,148
31,광장,147
32,탑승,144
33,주차,143
34,돌산,141
35,게장,140
36,리조트,134
37,타고,133
38,관광,128
39,벽화,121
40,주문,118
41,풍경,115
42,해상,114
43,구경,113
44,루지,113
45,포차,109
46,박,105
47,체험,105
48,오션,103
49,존,102
