,키워드,언급수
0,강릉,4265
1,여행,1788
2,바다,1203
3,카페,1144
4,맛,1122
5,사진,1077
6,해변,978
7,시간,848
8,커피,826
9,호텔,721
10,사람,694
11,강릉시,652
12,방문,627
13,주문,627
14,강원도,615
15,맛집,570
16,순두부,568
17,뷰,537
18,벚꽃,532
19,위치,518
20,집,482
21,숙소,482
22,관광,480
23,추천,462
24,주차,450
25,메뉴,432
26,빵,430
27,주차장,413
28,구경,379
29,중앙시장,352
30,초당,343
31,예약,339
32,회,322
33,오션,314
34,경포,309
35,짬뽕,295
36,주문진,293
37,밥,283
38,가족,280
39,신라,278
40,분위기,277
41,칼국수,276
42,코스,275
43,강원,275
44,공원,272
45,줄,267
46,가게,266
47,음식,265
48,대게,262
49,입구,259
