,키워드,언급수
0,경주,4668
1,여행,1888
2,사진,1444
3,벚꽃,1174
4,시간,986
5,카페,850
6,맛,700
7,경주시,674
8,사람,650
9,대릉,605
10,방문,576
11,위치,561
12,숙소,559
13,추천,557
14,맛집,537
15,코스,532
16,주차장,525
17,주차,507
18,첨성대,499
19,주문,487
20,구경,480
21,경북,465
22,집,427
23,불국사,423
24,빵,418
25,호텔,398
26,마을,388
27,메뉴,373
28,체험,365
29,입구,362
30,봄,362
31,보문,356
32,존,352
33,가족,351
34,커피,349
35,포토,349
36,바다,346
37,신라,342
38,풀,335
39,나무,330
40,꽃,325
41,월,321
42,예약,321
43,날씨,319
44,분위기,312
45,식당,312
46,펜션,302
47,동궁,299
48,빌라,297
49,저녁,294
