,키워드,언급수
0,경주,4264
1,여행,2119
2,사진,1535
3,시간,1143
4,사람,920
5,첨성대,896
6,카페,843
7,방문,678
8,불국사,647
9,경주시,641
10,맛,636
11,가을,625
12,주차장,622
13,대릉,614
14,주차,583
15,추천,538
16,숙소,531
17,동궁,512
18,코스,497
19,빵,492
20,월지,492
21,구경,463
22,월,458
23,집,447
24,위치,446
25,맛집,442
26,마을,427
27,정교,422
28,신라,419
29,입구,414
30,주문,412
31,경북,410
32,포토,398
33,존,396
34,야경,370
35,단풍,369
36,줄,361
37,핑크,347
38,체험,334
39,예약,332
40,커피,323
41,날씨,316
42,무료,315
43,저녁,312
44,풍경,312
45,꽃,308
46,가족,301
47,입장,299
48,메뉴,293
49,관람,290
