,키워드,언급수
0,거제,3180
1,여행,1733
2,거제도,1622
3,카페,1258
4,사진,1231
5,바다,1173
6,시간,940
7,뷰,770
8,맛,752
9,맛집,729
10,거제시,691
11,주문,660
12,바람,653
13,추천,640
14,사람,630
15,메뉴,589
16,방문,579
17,주차,518
18,코스,510
19,매미,507
20,숙소,498
21,예약,487
22,커피,471
23,주차장,459
24,마을,438
25,위치,438
26,경남,411
27,오션,379
28,집,367
29,펜션,361
30,언덕,356
31,외도,354
32,가족,347
33,배,326
34,호텔,324
35,풍경,321
36,체험,321
37,날씨,313
38,구경,313
39,김밥,311
40,섬,311
41,밥,310
42,존,306
43,포토,300
44,입구,283
45,겨울,279
46,분위기,269
47,가격,266
48,회,264
49,식사,263
