,키워드,언급수
0,여수,5672
1,여행,1959
2,바다,1616
3,카페,1576
4,사진,1205
5,시간,1020
6,맛,890
7,뷰,823
8,오동도,731
9,여수시,688
10,맛집,674
11,호텔,638
12,주문,626
13,사람,623
14,밤,609
15,이순신,573
16,게장,545
17,추천,530
18,주차장,506
19,방문,504
20,김밥,499
21,공원,482
22,집,480
23,위치,479
24,주차,475
25,숙소,463
26,케이블카,459
27,오션,450
28,코스,448
29,광장,431
30,메뉴,407
31,커피,390
32,전남,389
33,풍경,360
34,가격,358
35,돌산,356
36,포장,353
37,낭만,344
38,타고,334
39,예약,334
40,밥,325
41,갓김치,323
42,구경,321
43,겨울,318
44,마을,303
45,식당,300
46,버거,300
47,펜션,299
48,존,294
49,분위기,290
