,키워드,언급수
0,의령,2195
1,사진,1034
2,댑싸리,1032
3,축제,1011
4,여행,894
5,공원,804
6,가을,776
7,집,767
8,사람,732
9,시간,675
10,꽃,646
11,카페,604
12,주차장,490
13,경남,477
14,커피,475
15,맛,472
16,마을,459
17,부산,448
18,치킨,413
19,바위,412
20,소바,406
21,핑크,398
22,진주,388
23,떡,368
24,구경,362
25,방문,360
26,리치,354
27,의병,338
28,부자,336
29,국밥,332
30,체험,329
31,주차,324
32,식당,316
33,망,316
34,솥,315
35,숲,297
36,추천,296
37,떡볶이,295
38,밥,291
39,산,265
40,친구,256
41,이야기,254
42,국화,254
43,피자,254
44,맛집,252
45,택시,247
46,풍경,244
47,뮬리,240
48,저녁,229
49,출발,229
