,키워드,언급수
0,제주,2692
1,제주도,1605
2,여행,1539
3,제주시,1457
4,맛,1296
5,카페,976
6,맛집,969
7,시간,902
8,사진,877
9,주문,801
10,메뉴,797
11,방문,702
12,공항,637
13,고기,598
14,추천,591
15,호텔,514
16,사람,500
17,바다,492
18,커피,457
19,숙소,457
20,위치,450
21,주차,448
22,집,442
23,식당,402
24,코스,368
25,밥,359
26,국수,349
27,주차장,346
28,예약,340
29,김밥,340
30,음식,335
31,돼지,326
32,분위기,320
33,뷰,317
34,갈치,303
35,새우,293
36,가게,287
37,먹기,287
38,친구,283
39,고기국수,283
40,마지막,281
41,가족,279
42,가격,270
43,식사,260
44,저녁,258
45,구경,254
46,소금,248
47,아침,243
48,음료,236
49,국물,228
