,키워드,언급수
0,단양,4071
1,여행,2019
2,사진,1599
3,마늘,1414
4,패러글라이딩,1098
5,시간,999
6,사람,999
7,시장,972
8,구경,884
9,카페,832
10,스카이,807
11,워,798
12,맛,758
13,단풍,743
14,주차장,678
15,풍경,657
16,도담삼봉,656
17,만천하,637
18,코스,630
19,숙소,625
20,타고,600
21,가을,565
22,주차,541
23,추천,526
24,방문,517
25,산,509
26,인사,507
27,유람선,490
28,터널,490
29,집,465
30,떡갈비,414
31,닭강정,411
32,주문,398
33,잔,391
34,맛집,384
35,예약,373
36,뷰,370
37,빵,343
38,아침,332
39,줄,330
40,하늘,328
41,식당,326
42,전망대,325
43,길이,325
44,카페산,325
45,입구,317
46,날씨,315
47,충북,314
48,체험,312
49,남,310
