,키워드,언급수
0,제주,2915
1,제주시,1859
2,여행,1483
3,제주도,1426
4,맛,1214
5,카페,1077
6,사진,1009
7,시간,1008
8,맛집,920
9,방문,781
10,커피,717
11,공항,705
12,메뉴,699
13,주문,689
14,사람,563
15,위치,560
16,숙소,554
17,추천,543
18,바다,526
19,호텔,520
20,고기,506
21,집,485
22,주차,457
23,갈치,403
24,음식,392
25,밥,369
26,돼지,356
27,주차장,341
28,예약,339
29,식당,329
30,게,327
31,코스,326
32,친구,319
33,분위기,319
34,가격,314
35,체험,311
36,소금,306
37,뷰,291
38,가게,289
39,구경,288
40,국수,284
41,식사,282
42,먹기,274
43,마지막,273
44,입구,270
45,조림,265
46,감귤,265
47,아침,261
48,저녁,257
49,귤,251
