,키워드,언급수
0,속초,4662
1,여행,1731
2,카페,1505
3,맛,1320
4,바다,1237
5,강원도,914
6,맛집,905
7,시간,798
8,사진,756
9,주문,722
10,뷰,655
11,대게,650
12,사람,649
13,속초시,616
14,설악산,593
15,숙소,581
16,집,577
17,커피,573
18,회,560
19,주차,543
20,방문,538
21,빵,508
22,겨울,504
23,추천,497
24,메뉴,469
25,호텔,457
26,주차장,439
27,닭강정,437
28,식당,427
29,물회,418
30,마을,413
31,중앙시장,410
32,포장,393
33,바위,378
34,가격,360
35,게,355
36,홍게,355
37,위치,352
38,청초,341
39,코스,340
40,밥,331
41,강원,322
42,음식,310
43,영,308
44,관광,304
45,아침,302
46,해변,300
47,오션,296
48,해수욕장,292
49,오징어,292
