,키워드,언급수
0,단양,3826
1,여행,1946
2,사진,1465
3,마늘,1425
4,시간,1030
5,패러글라이딩,1019
6,카페,1006
7,사람,939
8,시장,821
9,도담삼봉,755
10,스카이,735
11,워,722
12,구경,710
13,맛,663
14,숙소,618
15,코스,591
16,만천하,588
17,타고,559
18,주차장,550
19,풍경,483
20,유람선,467
21,터널,467
22,추천,449
23,닭강정,449
24,주차,442
25,산,427
26,주문,427
27,날씨,426
28,집,417
29,방문,412
30,뷰,404
31,맛집,404
32,동굴,401
33,고수동굴,366
34,식당,361
35,예약,354
36,출발,340
37,빵,336
38,커피,334
39,암,329
40,전망대,327
41,하늘,325
42,아침,316
43,떡갈비,316
44,저녁,300
45,계단,300
46,카페산,297
47,가족,291
48,체험,290
49,아쿠아리움,285
