,키워드,언급수
0,경주,4144
1,여행,2004
2,사진,1244
3,카페,1121
4,시간,1026
5,맛,825
6,사람,802
7,숙소,660
8,불국사,618
9,경주시,586
10,첨성대,552
11,맛집,545
12,주문,528
13,추천,528
14,방문,518
15,집,498
16,코스,481
17,커피,447
18,빵,436
19,위치,433
20,월,433
21,바다,426
22,주차,421
23,주차장,415
24,대릉,414
25,겨울,409
26,경북,402
27,구경,398
28,동궁,391
29,마을,385
30,정교,380
31,메뉴,362
32,밥,352
33,야경,347
34,호텔,342
35,신라,337
36,월지,327
37,가족,322
38,분위기,322
39,뷰,309
40,체험,305
41,아침,298
42,저녁,296
43,친구,292
44,예약,284
45,가격,282
46,입구,281
47,입장,275
48,관광,272
49,줄,270
