,키워드,언급수
0,제주,3099
1,여행,2233
2,제주도,2117
3,사진,1374
4,카페,992
5,시간,950
6,서귀포시,785
7,맛,771
8,코스,758
9,바다,713
10,숙소,661
11,사람,648
12,방문,630
13,서귀포,617
14,추천,561
15,호텔,555
16,맛집,551
17,유채꽃,549
18,위치,499
19,주문,491
20,돼지,452
21,예약,440
22,식당,438
23,주차,436
24,주차장,422
25,메뉴,401
26,날씨,386
27,풍경,385
28,산방산,382
29,뷰,381
30,집,372
31,체험,368
32,겨울,360
33,구경,354
34,가족,349
35,우도,347
36,귤,335
37,봄,322
38,고기,318
39,꽃,318
40,바람,307
41,해변,301
42,동백꽃,298
43,포토,294
44,입구,292
45,친구,290
46,전복,288
47,커피,287
48,가격,286
49,갈치,285
