,키워드,언급수
0,제주,2785
1,제주시,1967
2,제주도,1442
3,맛,1375
4,여행,1348
5,맛집,1008
6,카페,927
7,시간,855
8,사진,833
9,주문,819
10,메뉴,734
11,공항,711
12,방문,704
13,고기,505
14,사람,504
15,갈치,503
16,추천,499
17,위치,490
18,집,488
19,바다,460
20,커피,457
21,주차,453
22,밥,419
23,돼지,417
24,주차장,400
25,호텔,399
26,식당,389
27,숙소,361
28,음식,336
29,식사,325
30,예약,324
31,친구,321
32,빵,316
33,분위기,313
34,조림,304
35,국물,304
36,전복,303
37,먹기,300
38,게,292
39,가게,285
40,날씨,284
41,마지막,284
42,가격,282
43,구경,278
44,역시,274
45,코스,273
46,매장,268
47,포장,265
48,케이크,264
49,반찬,260
