,키워드,언급수
0,경주,4529
1,여행,2133
2,사진,1224
3,시간,998
4,카페,903
5,맛,788
6,사람,751
7,숙소,740
8,첨성대,632
9,경주시,600
10,방문,560
11,불국사,556
12,주차장,542
13,추천,532
14,맛집,520
15,주문,516
16,집,506
17,주차,483
18,대릉,480
19,위치,465
20,빵,423
21,코스,422
22,메뉴,420
23,예약,411
24,신라,392
25,경북,389
26,바다,389
27,월,385
28,커피,374
29,마을,372
30,분위기,362
31,구경,361
32,가족,350
33,호텔,339
34,펜션,334
35,정교,319
36,친구,315
37,입구,305
38,겨울,294
39,식당,293
40,체험,285
41,추억,284
42,동궁,283
43,가격,280
44,가게,272
45,뷰,272
46,저녁,271
47,밥,271
48,존,268
49,날씨,266
