,키워드,언급수
0,제주,3502
1,여행,2461
2,제주도,2154
3,사진,1319
4,시간,1063
5,동백꽃,951
6,겨울,914
7,카페,874
8,서귀포시,837
9,맛,763
10,방문,713
11,서귀포,701
12,코스,682
13,추천,618
14,동백,592
15,체험,579
16,숙소,566
17,사람,560
18,바다,550
19,귤,507
20,위치,464
21,맛집,452
22,돼지,448
23,주문,433
24,호텔,429
25,예약,427
26,주차,418
27,주차장,394
28,메뉴,374
29,크리스마스,373
30,꽃,368
31,뷰,366
32,풍경,366
33,고기,364
34,구경,357
35,입구,355
36,포토,350
37,날씨,346
38,갈치,335
39,감귤,334
40,존,329
41,가족,313
42,나무,306
43,명소,306
44,친구,293
45,한라산,288
46,식당,280
47,집,273
48,바람,264
49,카멜리아,260
