,키워드,언급수
0,거제,2962
1,여행,1577
2,거제도,1430
3,바다,1130
4,카페,1076
5,사진,1059
6,시간,866
7,뷰,802
8,맛,741
9,바람,738
10,방문,656
11,거제시,642
12,매미,553
13,사람,552
14,섬,549
15,외도,549
16,주차,520
17,주차장,519
18,주문,508
19,추천,508
20,맛집,507
21,커피,489
22,숙소,487
23,코스,487
24,펜션,484
25,경남,451
26,예약,438
27,언덕,426
28,위치,421
29,메뉴,415
30,오션,400
31,가족,363
32,집,348
33,체험,347
34,밥,345
35,풍경,333
36,날씨,333
37,마을,319
38,해수욕장,315
39,포토,305
40,유람선,302
41,몽돌,299
42,구경,293
43,입구,290
44,케이블카,290
45,존,285
46,화장실,283
47,배,280
48,보,262
49,식당,262
