,키워드,언급수
0,양양,3019
1,여행,1854
2,바다,1553
3,서핑,1342
4,사진,1206
5,해변,1132
6,비치,1017
7,사람,1013
8,숙소,975
9,시간,873
10,카페,852
11,맛,801
12,강원도,604
13,해수욕장,567
14,피,561
15,집,542
16,맛집,508
17,날씨,486
18,친구,477
19,뷰,460
20,주문,433
21,파도,416
22,커피,413
23,아침,412
24,속초,408
25,예약,406
26,추천,402
27,여름,394
28,인구,394
29,저녁,390
30,호텔,384
31,낙산사,370
32,강습,348
33,핫,339
34,방문,338
35,구경,337
36,죽도,336
37,분위기,325
38,막국수,323
39,버스,318
40,출발,308
41,맥주,298
42,강릉,297
43,밥,291
44,조대,286
45,타고,284
46,박,282
47,온,273
48,물놀이,271
49,주차,267
