,키워드,언급수
0,속초,5996
1,여행,1847
2,바다,1233
3,맛,1197
4,카페,977
5,맛집,963
6,사진,953
7,시간,907
8,강원도,804
9,속초시,718
10,설악산,712
11,방문,697
12,주문,672
13,회,641
14,뷰,624
15,사람,610
16,영,592
17,물회,592
18,추천,575
19,숙소,552
20,주차,543
21,위치,541
22,집,541
23,메뉴,525
24,호텔,517
25,주차장,495
26,해수욕장,482
27,벚꽃,479
28,대게,478
29,마을,475
30,코스,451
31,생선,451
32,대관람차,433
33,청초,432
34,호수,404
35,커피,381
36,가격,372
37,바위,366
38,중앙시장,358
39,해변,352
40,빵,350
41,포장,348
42,가족,347
43,식당,323
44,순두부,314
45,구경,311
46,금정,308
47,밥,306
48,풍경,301
49,음식,300
