,키워드,언급수
0,제주,2684
1,제주도,1513
2,제주시,1438
3,여행,1416
4,맛,1132
5,카페,1100
6,사진,876
7,맛집,847
8,시간,794
9,주문,656
10,공항,585
11,방문,585
12,커피,584
13,메뉴,567
14,사람,551
15,추천,534
16,숙소,532
17,바다,473
18,위치,463
19,집,422
20,고기,408
21,호텔,405
22,주차,387
23,예약,357
24,코스,324
25,돼지,317
26,분위기,307
27,가격,307
28,밥,306
29,김밥,305
30,뷰,296
31,소금,293
32,음식,292
33,식당,273
34,주차장,270
35,친구,269
36,저녁,266
37,마지막,259
38,구경,257
39,아침,256
40,시장,254
41,갈치,252
42,가게,246
43,날씨,242
44,빵,242
45,먹기,236
46,음료,236
47,식사,235
48,새우,234
49,입구,230
