,키워드,언급수
0,강릉,4799
1,여행,2233
2,바다,1649
3,맛,1236
4,해변,1192
5,시간,1168
6,커피,1111
7,카페,1103
8,사진,999
9,맛집,837
10,호텔,820
11,강원도,790
12,겨울,746
13,사람,744
14,순두부,707
15,주문,682
16,강릉시,681
17,숙소,659
18,뷰,625
19,추천,616
20,회,585
21,방문,583
22,위치,535
23,메뉴,528
24,주차,520
25,집,485
26,주차장,473
27,빵,472
28,코스,440
29,주문진,419
30,초당,418
31,구경,390
32,중앙시장,380
33,경포,371
34,정동진,368
35,가격,358
36,예약,353
37,밥,351
38,안목,346
39,오션,341
40,아침,338
41,강원,335
42,짬뽕,315
43,동해,314
44,일출,314
45,줄,314
46,친구,314
47,공원,307
48,역시,307
49,분위기,306
