,키워드,언급수
0,경주,4586
1,여행,2151
2,사진,1505
3,시간,1123
4,가을,803
5,사람,775
6,카페,770
7,경주시,751
8,첨성대,731
9,불국사,707
10,단풍,693
11,주차장,666
12,맛,655
13,추천,610
14,대릉,598
15,방문,596
16,숙소,572
17,코스,545
18,주차,527
19,맛집,517
20,경북,510
21,주문,495
22,구경,491
23,동궁,460
24,위치,457
25,집,423
26,신라,410
27,월지,404
28,빵,399
29,마을,398
30,야경,398
31,입구,387
32,가족,383
33,월,376
34,포토,363
35,예약,346
36,존,335
37,정교,321
38,분위기,320
39,풍경,313
40,아침,301
41,줄,297
42,커피,297
43,체험,294
44,나무,291
45,무료,284
46,밤,283
47,저녁,280
48,입장,279
49,산책,278
