,키워드,언급수
0,제주,2532
1,제주시,1501
2,제주도,1414
3,여행,1310
4,맛,1129
5,맛집,964
6,카페,909
7,사진,866
8,시간,778
9,주문,714
10,메뉴,643
11,방문,617
12,호텔,576
13,추천,563
14,고기,548
15,사람,540
16,공항,526
17,숙소,468
18,커피,448
19,위치,446
20,집,440
21,돼지,432
22,바다,426
23,주차,383
24,식당,358
25,음식,344
26,밥,342
27,친구,341
28,예약,337
29,가격,320
30,주차장,297
31,아침,278
32,날씨,278
33,코스,277
34,가게,265
35,분위기,262
36,뷰,261
37,저녁,258
38,게,248
39,전복,248
40,마지막,245
41,식사,243
42,구경,236
43,음료,232
44,먹기,228
45,입구,226
46,새우,223
47,가족,221
48,김밥,215
49,역시,214
