,키워드,언급수
0,여수,4121
1,여행,1581
2,바다,1377
3,사진,926
4,시간,785
5,게장,687
6,맛,681
7,카페,589
8,뷰,565
9,맛집,560
10,사람,532
11,이순신,492
12,추천,483
13,밤,471
14,오동도,467
15,호텔,463
16,코스,457
17,주문,432
18,방문,422
19,여수시,419
20,주차,380
21,낭만,380
22,위치,339
23,광장,335
24,아르떼,333
25,집,329
26,메뉴,324
27,오션,324
28,김밥,324
29,숙소,320
30,주차장,318
31,포차,316
32,타고,314
33,공원,313
34,예약,306
35,케이블카,299
36,가족,297
37,밥,287
38,구경,286
39,양념,282
40,돌,279
41,등대,264
42,게,263
43,버거,260
44,배,256
45,식당,253
46,줄,236
47,문어,236
48,전남,235
49,향일암,235
