,키워드,언급수
0,제주,2516
1,제주도,1527
2,제주시,1511
3,여행,1381
4,맛,1156
5,카페,1085
6,사진,987
7,맛집,838
8,시간,818
9,방문,701
10,주문,657
11,추천,559
12,공항,552
13,호텔,551
14,메뉴,529
15,커피,494
16,사람,457
17,숙소,448
18,집,432
19,주차,404
20,위치,388
21,주차장,368
22,바다,368
23,고기,363
24,밥,352
25,식당,350
26,음식,337
27,돼지,336
28,예약,324
29,가격,312
30,코스,292
31,친구,288
32,가게,288
33,갈치,282
34,분위기,280
35,저녁,273
36,구경,273
37,시장,269
38,국수,268
39,날씨,266
40,아침,263
41,뷰,253
42,걸,251
43,음료,243
44,해수욕장,243
45,빵,241
46,마지막,236
47,먹기,235
48,새우,229
49,게,228
