,키워드,언급수
0,동해,2266
1,여행,1728
2,바다,1488
3,동해시,985
4,사진,977
5,해변,894
6,시간,803
7,사람,758
8,강원도,753
9,해수욕장,747
10,바위,688
11,맛,681
12,카페,663
13,스카이,647
14,전망대,597
15,숙소,596
16,맛집,593
17,집,550
18,삼척,490
19,무릉,482
20,방문,467
21,동굴,459
22,추천,454
23,묵호,420
24,망상,417
25,여름,404
26,비골,398
27,뷰,393
28,밸리,389
29,주차장,386
30,묵호항,377
31,타고,369
32,주문,368
33,주차,366
34,등대,366
35,촛대,357
36,위치,351
37,강릉,328
38,구경,318
39,밥,316
40,날씨,315
41,가족,310
42,친구,304
43,회,303
44,해랑,298
45,메뉴,296
46,코스,292
47,아침,292
48,가격,285
49,풍경,285
