,키워드,언급수
0,경주,4345
1,여행,2138
2,사진,1194
3,시간,1055
4,맛,856
5,카페,765
6,맛집,717
7,숙소,700
8,사람,683
9,경주시,680
10,방문,576
11,주문,541
12,주차장,539
13,추천,536
14,첨성대,523
15,위치,511
16,메뉴,504
17,주차,502
18,대릉,484
19,집,483
20,불국사,467
21,코스,457
22,구경,412
23,가족,406
24,호텔,403
25,커피,391
26,빵,387
27,경북,385
28,신라,382
29,예약,362
30,동궁,358
31,겨울,353
32,월지,350
33,분위기,342
34,입구,337
35,마을,327
36,야경,324
37,펜션,321
38,월,320
39,존,319
40,밥,316
41,식당,311
42,친구,303
43,포토,302
44,음식,289
45,화장실,287
46,정교,287
47,체험,286
48,고기,283
49,날씨,282
