,키워드,언급수
0,제주,3635
1,여행,2532
2,제주도,2069
3,사진,1317
4,시간,1226
5,카페,957
6,서귀포시,855
7,서귀포,844
8,코스,840
9,맛,766
10,바다,712
11,체험,701
12,추천,672
13,방문,664
14,숙소,658
15,사람,601
16,호텔,558
17,예약,554
18,위치,533
19,맛집,520
20,귤,460
21,뷰,446
22,구경,441
23,주문,438
24,풍경,428
25,주차,427
26,메뉴,423
27,집,406
28,갈치,394
29,가족,387
30,날씨,387
31,감귤,379
32,주차장,377
33,돼지,377
34,식당,368
35,입구,359
36,제주시,344
37,오름,344
38,겨울,312
39,가을,311
40,커피,311
41,존,309
42,자연,300
43,포토,299
44,가격,295
45,게,276
46,분위기,275
47,아침,274
48,정원,273
49,바람,270
