,키워드,언급수
0,속초,4887
1,여행,1605
2,맛,1233
3,바다,1196
4,카페,912
5,맛집,909
6,사진,798
7,시간,781
8,강원도,746
9,주문,719
10,사람,666
11,뷰,630
12,방문,607
13,회,587
14,집,579
15,속초시,575
16,대게,553
17,설악산,549
18,주차,548
19,메뉴,531
20,추천,526
21,물회,512
22,숙소,492
23,커피,470
24,호텔,464
25,위치,458
26,주차장,451
27,중앙시장,436
28,해수욕장,411
29,게,403
30,닭강정,396
31,포장,390
32,마을,366
33,밥,359
34,가격,356
35,금정,355
36,식당,345
37,코스,336
38,겨울,328
39,음식,320
40,바위,320
41,청초,299
42,역시,296
43,가게,294
44,순두부,292
45,칼국수,290
46,먹기,286
47,배,284
48,영,283
49,빵,283
