,키워드,언급수
0,여수,5265
1,여행,1934
2,바다,1609
3,사진,1085
4,카페,1025
5,맛,1014
6,시간,972
7,맛집,821
8,오동도,817
9,뷰,695
10,게장,690
11,사람,686
12,이순신,630
13,호텔,627
14,여수시,620
15,주문,575
16,추천,574
17,방문,565
18,주차,542
19,주차장,534
20,케이블카,533
21,밤,512
22,메뉴,451
23,위치,450
24,버거,444
25,집,438
26,갈치,434
27,숙소,428
28,광장,425
29,낭만,416
30,섬,408
31,식당,388
32,코스,387
33,구경,375
34,향일암,373
35,공원,368
36,밥,368
37,음식,366
38,빵,363
39,전남,360
40,오션,355
41,타고,345
42,김밥,344
43,가격,336
44,풍경,333
45,돌,330
46,예약,330
47,양념,316
48,포장,305
49,커피,301
