,키워드,언급수
0,통영,4399
1,여행,1674
2,사진,1225
3,바다,1051
4,피,916
5,루지,909
6,시간,809
7,카페,792
8,사람,752
9,케이블카,650
10,맛,631
11,숙소,599
12,마을,531
13,공원,501
14,수국,494
15,뷰,493
16,코스,477
17,타고,468
18,추천,438
19,집,433
20,맛집,408
21,거제,404
22,섬,396
23,배,395
24,구경,369
25,날씨,369
26,주차장,356
27,방문,356
28,벽화,350
29,회,333
30,꿀빵,332
31,바람,327
32,예약,326
33,주차,323
34,풍경,313
35,탑승,311
36,호텔,297
37,이순신,295
38,아침,293
39,밥,273
40,가족,272
41,친구,268
42,줄,263
43,커피,261
44,저녁,254
45,이제,251
46,출발,247
47,걸,247
48,디피,241
49,주문,237
