,키워드,언급수
0,여수,4687
1,여행,1956
2,바다,1756
3,사진,1110
4,카페,1008
5,시간,994
6,맛,980
7,게장,889
8,사람,851
9,맛집,691
10,여수시,689
11,주문,672
12,추천,661
13,밤,636
14,뷰,628
15,낭만,625
16,이순신,612
17,주차장,541
18,김밥,523
19,호텔,512
20,방문,496
21,주차,490
22,메뉴,484
23,숙소,483
24,오동도,483
25,집,465
26,포차,445
27,케이블카,439
28,광장,436
29,코스,430
30,섬,424
31,위치,420
32,마을,410
33,예약,407
34,전남,400
35,밥,379
36,식당,378
37,가족,365
38,아이스크림,354
39,돌,341
40,산,336
41,줄,335
42,구경,329
43,타고,325
44,탑승,323
45,버거,320
46,가격,316
47,날씨,313
48,오션,307
49,포장,303
