,키워드,언급수
0,옥천,2680
1,여행,1518
2,사진,1009
3,시간,817
4,사람,738
5,카페,732
6,집,721
7,맛,721
8,공원,672
9,맛집,572
10,유채꽃,538
11,버스,535
12,충북,532
13,꽃,515
14,마을,510
15,주차장,439
16,정지용,418
17,추천,416
18,방문,412
19,풍경,406
20,금강,406
21,코스,403
22,화장실,398
23,체험,385
24,대전,377
25,식당,343
26,예약,337
27,부,315
28,구경,314
29,가족,309
30,대청호,307
31,산,303
32,소담,298
33,커피,296
34,친구,294
35,주문,293
36,나무,289
37,주차,287
38,산책,287
39,악,279
40,숙소,270
41,정원,269
42,날씨,268
43,위치,268
44,만,260
45,밥,255
46,못,254
47,생가,251
48,시인,250
49,부산,248
