,키워드,언급수
0,속초,5304
1,여행,1909
2,바다,1172
3,맛,1160
4,사진,1080
5,시간,1041
6,카페,1001
7,사람,867
8,맛집,769
9,강원도,757
10,해수욕장,725
11,주차,716
12,주문,710
13,속초시,679
14,숙소,662
15,뷰,641
16,물회,617
17,방문,605
18,집,593
19,주차장,590
20,회,553
21,추천,540
22,메뉴,525
23,청초,447
24,가족,444
25,해변,434
26,대게,429
27,위치,425
28,호텔,420
29,마을,417
30,설악산,407
31,커피,404
32,중앙시장,400
33,빵,392
34,식당,389
35,오징어,381
36,영,381
37,강원,363
38,코스,358
39,여름,352
40,줄,350
41,휴가,346
42,바위,345
43,음식,342
44,구경,342
45,저녁,333
46,생선,328
47,아침,325
48,밥,322
49,날씨,321
