,키워드,언급수
0,경주,4721
1,여행,2162
2,사진,1248
3,시간,996
4,카페,926
5,맛,714
6,경주시,707
7,사람,668
8,경북,631
9,코스,618
10,첨성대,593
11,숙소,586
12,주문,557
13,맛집,556
14,방문,538
15,주차장,534
16,추천,527
17,주차,526
18,위치,496
19,불국사,485
20,대릉,446
21,집,425
22,신라,398
23,메뉴,385
24,바다,374
25,역사,356
26,구경,356
27,예약,340
28,입구,337
29,체험,312
30,친구,310
31,커피,306
32,가족,301
33,분위기,282
34,날씨,278
35,존,277
36,관광,273
37,호텔,272
38,밥,271
39,포토,269
40,월,269
41,공원,269
42,저녁,260
43,동궁,259
44,마을,259
45,펜션,259
46,줄,256
47,관람,254
48,뷰,253
49,입장,252
