,키워드,언급수
0,강릉,4357
1,여행,1887
2,바다,1478
3,사진,1462
4,맛,1175
5,카페,1110
6,해변,1059
7,시간,1020
8,커피,930
9,사람,813
10,맛집,749
11,호텔,708
12,방문,699
13,강원도,685
14,강릉시,643
15,숙소,617
16,주문,606
17,주문진,577
18,추천,555
19,순두부,550
20,뷰,518
21,위치,518
22,집,489
23,주차,488
24,빵,483
25,주차장,464
26,회,428
27,메뉴,423
28,코스,410
29,구경,382
30,예약,364
31,강문,320
32,줄,318
33,초당,315
34,안목,315
35,대게,314
36,강원,313
37,친구,312
38,공원,304
39,오션,303
40,밥,303
41,아르떼,303
42,동해,299
43,역시,296
44,아침,295
45,음식,294
46,막국수,294
47,정동진,293
48,포토,285
49,포장,277
