,키워드,언급수
0,제주,2671
1,제주시,1673
2,제주도,1380
3,여행,1354
4,카페,1118
5,맛,1102
6,사진,852
7,시간,816
8,맛집,759
9,주문,726
10,공항,715
11,방문,666
12,메뉴,642
13,호텔,617
14,커피,561
15,추천,543
16,바다,489
17,숙소,467
18,위치,422
19,뷰,416
20,주차,413
21,사람,403
22,고기,377
23,돼지,371
24,예약,349
25,식당,337
26,집,335
27,친구,314
28,주차장,313
29,갈치,313
30,분위기,306
31,밥,302
32,코스,280
33,음식,279
34,가격,273
35,체험,272
36,식사,268
37,아침,261
38,김밥,251
39,빵,250
40,음료,248
41,가게,244
42,전복,240
43,먹기,230
44,소금,226
45,크림,224
46,구경,222
47,날씨,222
48,저녁,219
49,마지막,218
