,키워드,언급수
0,제주,3182
1,여행,2029
2,제주도,2004
3,수국,1500
4,사진,1451
5,시간,1141
6,카페,942
7,서귀포시,811
8,맛,743
9,사람,708
10,바다,695
11,코스,682
12,서귀포,678
13,방문,622
14,숙소,589
15,호텔,583
16,추천,549
17,예약,505
18,맛집,494
19,꽃,489
20,주문,479
21,메뉴,462
22,위치,409
23,구경,387
24,주차장,386
25,주차,375
26,가족,360
27,날씨,349
28,돼지,342
29,배,334
30,뷰,334
31,체험,334
32,풍경,326
33,여름,313
34,고기,311
35,포토,309
36,집,307
37,입구,291
38,식당,280
39,갈치,279
40,야외,276
41,존,267
42,아침,265
43,일정,263
44,가격,262
45,정원,259
46,저녁,257
47,자연,254
48,박,247
49,산방산,244
