,키워드,언급수
0,군산,3336
1,카페,1532
2,여행,1035
3,공원,908
4,마을,751
5,사진,669
6,맛,653
7,번길,651
8,군산시,634
9,맛집,605
10,시간,584
11,박물관,543
12,코스,462
13,커피,456
14,사람,445
15,방문,436
16,서울,431
17,주문,423
18,선유도,402
19,바다,389
20,짬뽕,371
21,빵,350
22,주차,335
23,전북,332
24,벚꽃,332
25,추천,330
26,집,329
27,메뉴,317
28,일본,313
29,산,311
30,역사,296
31,섬,283
32,위치,276
33,주차장,276
34,호수,269
35,중구,264
36,은파,244
37,철길,243
38,제주시,243
39,밥,235
40,주소,227
41,관광,223
42,부산,219
43,입구,217
44,새만금,213
45,가게,209
46,고추,209
47,분위기,208
48,사진관,208
49,짜장,202
