,키워드,언급수
0,여수,5866
1,여행,2373
2,바다,1738
3,사진,1230
4,시간,1158
5,맛,1005
6,뷰,803
7,카페,779
8,방문,721
9,밤,700
10,코스,634
11,숙소,621
12,맛집,621
13,사람,614
14,추천,610
15,여수시,600
16,게장,560
17,주문,548
18,빵,544
19,호텔,533
20,주차장,533
21,오동도,524
22,위치,521
23,주차,517
24,공원,511
25,이순신,510
26,케이블카,504
27,탑승,502
28,루지,487
29,예약,470
30,가족,458
31,광장,444
32,전남,442
33,풀,440
34,구경,439
35,집,413
36,메뉴,406
37,타고,402
38,오션,400
39,수영장,387
40,낭만,378
41,섬,377
42,존,352
43,풍경,344
44,돌산,333
45,포토,329
46,밥,328
47,리조트,325
48,포차,323
49,김밥,321
