,키워드,언급수
0,속초,4847
1,여행,1728
2,맛,1271
3,바다,1177
4,시간,882
5,강원도,854
6,카페,815
7,사진,814
8,맛집,790
9,주문,743
10,사람,698
11,속초시,669
12,주차,647
13,방문,638
14,뷰,622
15,회,615
16,호텔,586
17,해수욕장,579
18,집,552
19,주차장,550
20,숙소,550
21,오징어,512
22,물회,508
23,메뉴,500
24,설악산,492
25,대게,485
26,추천,463
27,커피,437
28,위치,417
29,빵,380
30,강원,378
31,마을,368
32,해변,365
33,게,362
34,코스,361
35,가격,355
36,바위,354
37,밥,349
38,중앙시장,341
39,포장,335
40,줄,325
41,가족,324
42,닭강정,316
43,대관람차,307
44,식당,306
45,구경,306
46,날씨,304
47,예약,304
48,가게,302
49,청초,297
