,키워드,언급수
0,양양,2887
1,여행,1976
2,바다,1472
3,사진,1333
4,숙소,1104
5,서핑,1065
6,사람,969
7,맛,929
8,시간,907
9,해변,907
10,카페,868
11,비치,814
12,낙산사,598
13,강원도,573
14,날씨,558
15,집,521
16,예약,517
17,맛집,511
18,뷰,497
19,친구,496
20,주문,458
21,속초,457
22,호텔,445
23,해수욕장,444
24,피,422
25,커피,417
26,저녁,408
27,추천,405
28,아침,403
29,구경,376
30,방문,374
31,박,367
32,파도,363
33,밥,363
34,회,344
35,조대,333
36,막국수,333
37,주차장,330
38,인구,316
39,함,312
40,출발,310
41,하늘,303
42,주차,300
43,버스,296
44,밤,295
45,핫,292
46,분위기,290
47,뭐,288
48,여름,288
49,타고,280
