,키워드,언급수
0,제주,3100
1,여행,2304
2,제주도,2055
3,사진,1385
4,시간,1084
5,카페,941
6,맛,815
7,서귀포,808
8,바다,787
9,서귀포시,727
10,코스,725
11,수국,725
12,사람,698
13,숙소,672
14,방문,631
15,추천,536
16,호텔,529
17,주문,526
18,맛집,516
19,예약,503
20,뷰,490
21,메뉴,474
22,위치,461
23,꽃,401
24,돼지,396
25,풍경,390
26,구경,373
27,가족,369
28,체험,359
29,집,357
30,주차장,347
31,산방산,347
32,주차,345
33,날씨,334
34,커피,307
35,입구,303
36,박,297
37,갈치,296
38,가격,294
39,자연,291
40,포토,290
41,존,283
42,아침,280
43,음식,279
44,우도,267
45,고기,266
46,음료,265
47,배,264
48,분위기,261
49,식당,254
