,키워드,언급수
0,제주,2592
1,제주도,1559
2,여행,1440
3,제주시,1437
4,맛,1235
5,카페,957
6,사진,933
7,맛집,863
8,시간,821
9,주문,691
10,메뉴,651
11,공항,605
12,사람,577
13,추천,573
14,방문,570
15,벚꽃,565
16,고기,559
17,숙소,522
18,호텔,470
19,바다,442
20,밥,441
21,주차,438
22,식당,420
23,집,416
24,돼지,396
25,커피,389
26,위치,377
27,음식,356
28,가격,350
29,구경,348
30,예약,343
31,코스,321
32,새우,316
33,김밥,310
34,주차장,302
35,마지막,284
36,저녁,278
37,전복,275
38,식사,273
39,뷰,272
40,갈치,272
41,친구,271
42,가게,268
43,분위기,258
44,날씨,253
45,국수,252
46,아침,248
47,역시,245
48,매장,240
49,먹기,235
