,키워드,언급수
0,여행,1484
1,인제,1413
2,사진,1221
3,시간,918
4,사람,829
5,집,765
6,맛,701
7,강원도,677
8,카페,549
9,자작나무,540
10,속초,492
11,숙소,456
12,자작나무숲,448
13,아침,446
14,겨울,442
15,숲,428
16,황태,427
17,맛집,414
18,엄마,409
19,바다,408
20,방문,376
21,이제,351
22,호텔,339
23,식당,327
24,커피,327
25,뭐,318
26,마을,318
27,주문,316
28,친구,315
29,산,314
30,추천,313
31,구경,312
32,주차장,302
33,버스,297
34,못,294
35,게,293
36,역시,292
37,구이,282
38,예약,279
39,저녁,278
40,주차,276
41,밥,275
42,날씨,272
43,풍경,267
44,막국수,264
45,출발,262
46,메뉴,254
47,걸,253
48,코스,251
49,줄,250
