,키워드,언급수
0,제주,3380
1,여행,2252
2,제주도,2087
3,사진,1158
4,시간,1092
5,카페,939
6,서귀포시,810
7,서귀포,774
8,맛,772
9,바다,742
10,사람,665
11,맛집,658
12,방문,656
13,숙소,630
14,코스,619
15,호텔,570
16,추천,569
17,수국,566
18,주문,500
19,예약,495
20,위치,459
21,뷰,453
22,돼지,441
23,메뉴,409
24,주차장,404
25,갈치,400
26,집,393
27,풍경,384
28,여름,375
29,식당,362
30,고기,362
31,주차,358
32,밥,341
33,가격,336
34,날씨,331
35,구경,321
36,체험,320
37,커피,317
38,꽃,311
39,가족,310
40,분위기,291
41,해수욕장,279
42,가파도,277
43,입구,274
44,음식,271
45,저녁,261
46,해변,261
47,공항,258
48,아침,257
49,관광지,250
