,키워드,언급수
0,속초,5047
1,여행,1989
2,시간,1101
3,맛,1089
4,바다,1013
5,강원도,996
6,설악산,955
7,사진,886
8,카페,815
9,사람,748
10,맛집,713
11,방문,703
12,주문,700
13,회,680
14,속초시,674
15,주차,639
16,주차장,592
17,숙소,572
18,바위,538
19,뷰,534
20,코스,532
21,집,506
22,추천,482
23,케이블카,476
24,마을,474
25,위치,460
26,해수욕장,459
27,호텔,452
28,커피,451
29,청초,441
30,단풍,440
31,메뉴,430
32,금정,415
33,풍경,408
34,음식,401
35,대게,390
36,중앙시장,379
37,가을,377
38,식당,374
39,물회,363
40,게,357
41,영,357
42,구경,345
43,설악,344
44,가격,343
45,공원,341
46,날씨,320
47,호수,318
48,입구,316
49,예약,315
