,키워드,언급수
0,강릉,4505
1,여행,2062
2,맛,1304
3,카페,1198
4,바다,1168
5,커피,1152
6,사진,1136
7,해변,1107
8,시간,1025
9,강원도,776
10,맛집,728
11,빵,726
12,호텔,723
13,사람,712
14,순두부,701
15,방문,699
16,주문,648
17,강릉시,579
18,추천,528
19,숙소,527
20,주차,505
21,메뉴,499
22,위치,476
23,주차장,457
24,집,441
25,뷰,428
26,예약,410
27,초당,378
28,코스,373
29,구경,371
30,주문진,366
31,날씨,357
32,회,354
33,중앙시장,352
34,줄,321
35,칼국수,319
36,식당,311
37,밥,309
38,가족,306
39,여름,298
40,짬뽕,298
41,포장,294
42,가격,293
43,역시,287
44,경포,287
45,강원,286
46,강문,283
47,안목,283
48,젤라또,278
49,분위기,276
