,키워드,언급수
0,제주,3131
1,여행,2253
2,제주도,2026
3,사진,1193
4,카페,1184
5,시간,1089
6,맛,763
7,서귀포시,758
8,서귀포,719
9,바다,649
10,추천,647
11,코스,641
12,방문,639
13,맛집,572
14,호텔,569
15,사람,561
16,숙소,545
17,주문,517
18,위치,498
19,예약,462
20,메뉴,413
21,가을,397
22,주차,396
23,돼지,391
24,체험,385
25,날씨,371
26,뷰,361
27,주차장,357
28,풍경,346
29,고기,330
30,집,323
31,갈치,320
32,구경,313
33,마라도,297
34,입구,293
35,식당,287
36,박,278
37,커피,272
38,가격,269
39,핑크,269
40,가족,264
41,음료,261
42,자연,257
43,존,253
44,배,252
45,아침,249
46,포토,246
47,시장,242
48,전복,241
49,저녁,237
