,키워드,언급수
0,거제,3633
1,거제도,1892
2,여행,1651
3,바다,1184
4,사진,1123
5,시간,1086
6,카페,1079
7,맛집,853
8,맛,819
9,뷰,799
10,거제시,738
11,방문,695
12,펜션,637
13,주문,612
14,숙소,593
15,매미,589
16,주차,569
17,추천,542
18,주차장,542
19,바람,528
20,예약,522
21,메뉴,512
22,외도,498
23,위치,480
24,사람,478
25,커피,464
26,경남,441
27,가족,416
28,코스,404
29,집,391
30,호텔,375
31,오션,361
32,유람선,360
33,섬,349
34,배,346
35,구경,338
36,체험,330
37,식사,321
38,날씨,320
39,마을,316
40,밥,315
41,존,311
42,음식,310
43,포토,308
44,풀,307
45,케이블카,306
46,언덕,301
47,풍경,297
48,입구,296
49,해금강,293
